item_id,text,second_label
R01,And their television technology was ahead of its time.,
R02,How you like us now you hosers,
R03,"wild group, Curacao sneaking into 3rd place contention is not something I had on my bingo card",
R04,"Looks like an old-school Football Manager simulation, but the different camera angles are actually pretty cool.\",
R05,This needs to start happening to politicians with criminal records.,
R06,That's the loudest BOO for the ad break I've heard yet,
R07,Fans Sing Country Roads in Seattle after the USA win,
R08,"This was my first world cup experience and it was truly amazing. As a Houstonian football was not very popular growing up, now i am obsessed!!! Thank you to all!",
R09,People for some reason think it’s the same Belgium as 12 years ago.,
R10,"Damn. They just cannot catch a break. Really hope they don’t lose Kubo too, this is such a talented team and has already suffered so many injuries. You hate to see that happen, especially when you only get one chance every four years.",
R11,"Japan is not smaller. They beat England, Brazil, Scotland, Canada and Germany in the last 3 years. The real kings of Asia if only AFC is nor corrupt. Onwards Blue Samurai!",
R12,"Yeah because Saudi Arabia, Qatar, Mexico, Russia, south Africa, and Morocco have stellar, non-corrupt governments with absolutely no human rights violation track records /s 🤣🤣🤣🤣",
R13,Never seen a more decisive victory be so marred in sadness. Canada was likely going through anyway but to lose a player in that manner is just heartbreaking,
R14,Match thread harder to find than the fucking yeti,
R15,"I get booing the other team, but booing the national anthem is too much.",
R16,Everyone wants to discredit America but they have beat two teams in front of them. Big names like Spain and Portugal have tied with worse teams against them. Also USA did this against Australia without Pulisic which is probably their best control and set up guy.,
R17,"However, Doku's plan to leave the USA and return home has brought fierce criticism from L'Equipe channel presenter France Pierron, who labelled a father ""completely useless"" at the time of their child's birth. Not true, I would believe the mere presence of the father would help the mother during the birthing process. ""There are hundreds of footballers who would kill to be in your shoes. It might never happen again in your life. What nonsense. The birth of his child will DEFINITELY never happen again if he misses it.",
R18,All of these European teams are fucking around with the African ones and they are finding out lol.,
R19,I like it better because why would beating a low rank team 12-1 be a greater accomplishment than beating a top team 1-0,
R20,These rankings are based on feels not reality of the first round games lol,
R21,"As a Brit, I’m looking forward to the former colonies derby.",
R22,"An insight into the Unrealistic Burden of Being a Brazil Fan Brazil is the only country to have attended every World Cup and is the country to win the most Cups. This is well known. But Brazil is also the country with the 2nd most attendances at the final match (7) and Brazil has not failed to advance from the Group Stage since 1966, plus Brazil is the only country to win two back-to-back World Cups. All this adds up to a crazy amount of expectation of success at the WC, not just from the outside world, but especially from the fans. Nevermind not wining every World Cup, there are many other events that would doom Brazil to be held as a failure: Don't qualify in the top 2 of CONMEBOL? - Failure Don't win every qualifying home game? - Failure Tie a game at the WC? - Failure Not play {insert Barca millionaire name here}? - Failure Not win the Group? - Failure Not score at least one amazing goal per game? - Failure Not put on a Beautiful Game footy clinic in every game? - Failure Win a game 1:nil? - Failure Not take at least 20 shots at goal every game? - Failure This kind pressure has made being a Seleção fan a bummer much of the time. (Porra!) I do think Brazil does best when everyone thinks they will suck.",
R23,When you've coached your team for 3 whole days and they still don't understand your philosophy,
R24,I'm excited and nervous to watch my country of birth competing on the world cup for the first time.,
R25,"Spain isn't even playing good, Saudi's are just bad.",
R26,Can bih qat sui sounds like a delicious thai dish!,
R27,"Ngl I am having a hard time feeling bad for the team. They were arrogant, without cause and looked disorganized from the get-go. I do feel for the supporters but the players can jog on.",
R28,How there is no image stabilizer on the ref cam?! Is this a joke?! Who is supposed to be happy with this? Are we supposed to be grateful to this nonsense idea? Why can't we have nice things?,
R29,"I mean, anything can happen. But if I was forced at gunpoint to make a bet, I would go Morocco.",
R30,Funny enough I think France is a lot like England. Versatile Attack with Endless Options. Limited but Effective Midfield Choices...difference is really England has an inferior Defense.,
R31,"He can stay there and continue watching his new homeland, while his old one flies back home.",
R32,Considering Africa and Asia had been shafted for generations and mostly either at war or colonised it's no surprise- they had a lot more to focus on than the World Cup- most of these modern countries didn't exist for biggest part of the past 100 years.,
R33,Welcome to contact sports lmao,
R34,Lady gets bonked in the head from saved Ecuador shot,
R35,One of the most entertaining 0-0 draws I’ve seen,
R36,Not since your mom has there been that many touches in the box.,
R37,"Pretty cool to see him back with the team and in good spirits. I was watching the TSN nightly wrap up segment last night and they said that three of the top orthopedic surgeons in Vancouver were actually watching the match, saw the injury happen, and almost immediately began coordinating/consulting with one another about preparing for the operation and started heading to the hospital before they even got a call from the people affiliated with the the Canadian soccer program. By the time Koné got to the hospital, they already had their advanced team prep the surgical suite and the surgeons themselves were basically ready to handle business. Given the way they were able to get the injury stabilized, get Koné to the hospital with highly qualified surgeons, and operate so quickly after such a gruesome and potentially career-altering iniury, I'd say the man had some incredible post-injury luck. From the update they gave last night, it sounds like they think his prognosis for his future recovery and return to soccer is good, as well. Even the injury apparently happened in such a way that the fractures and surrounding damage weren't nearly as extensive or as difficult to repair as is often seen in similar cases. All very good news for Koné and Canada.",
R38,Will Scotland Beat Morocco in Fridays World Cup Match? I think yes because nothing is impossible,
R39,"That was such a cowardly game from Czechia, why are you parking the bus 7 minutes in? Kudos to SA for taking advantage of it and finding the equalizer.",
R40,I was at the game. It was incredible. I hope this moves the needle a bit to improve soccers popularity in Canada.,
